id,rating,genre,director,writer,theater_date,runtime,rating_10_point,fresh
1616,PG,Classics|Drama|Mystery and Suspense,Arthur Ripley,Philip Yordan,1946-11-16,86,6.2,1.0
1618,PG-13,Action and Adventure|Art House and International|Drama,Yimou Zhang,Feng Li|Bin Wang|Yimou Zhang,2004-12-03,119,7.3,1.0
1620,R,Action and Adventure|Anime and Manga|Art House and International|Science Fiction and Fantasy,Shinsuke Sato,Shinsuke Sato|Kei Kunii,2002-10-10,92,6.2,1.0
1622,PG,Art House and International|Documentary|Faith and Spirituality,Nati Baratz,Nati Baratz|Ilil Alexander|Ron Goldman,2009-06-03,102,6.8,1.0
1623,R,Comedy|Drama,Vondie Curtis-Hall,Vondie Curtis-Hall,1997-01-31,91,6.6,1.0
1624,PG,Classics|Science Fiction and Fantasy,Boris Sagal,unknown,1971-08-01,99,6.2,1.0
1626,NR,Art House and International|Comedy|Horror|Mystery and Suspense,Cheol-su Park,unknown,1996-05-03,99,6.2,1.0
1627,R,Drama|Mystery and Suspense,Spike Lee,Richard Price|Spike Lee,1995-09-13,129,6.5,1.0
1628,R,Comedy|Drama|Romance,Luis Mandoki,Al Franken|Ronald Bass|Susan Shilliday,1994-04-29,124,6.7,1.0
1629,NR,Art House and International|Drama,Hong Sang-soo,Hong Sang-soo,,86,6.2,1.0
1630,NR,Classics|Comedy|Romance,Paul Wendkos,Gabrielle Upton,1959-01-01,95,5.6,0.0
1631,NR,Art House and International|Mystery and Suspense,Antonio Bonifacio,unknown,,88,6.2,1.0
1632,R,Drama|Mystery and Suspense,Gary Fleder,David Klass,1997-10-03,117,5.9,0.0
1633,NR,Art House and International|Drama,Tian Zhuangzhuang,Rui Zhang,1986-01-01,88,7.1,1.0
1636,PG,Drama|Special Interest|Sports and Fitness,Charles Sturridge,Charles Sturridge|Tim Sullivan,1994-06-01,112,6.0,1.0
1638,R,Comedy|Mystery and Suspense|Romance,Michael Lehmann,Rob Perez|Robert Perez,2002-03-01,95,5.5,0.0
1639,NR,Art House and International|Drama,Jeanne Labrune,Jeanne Labrune|Richard Debuisne,2011-08-26,95,5.9,0.0
1640,PG-13,Comedy,Deborah Brock,Jed Horovitz|Deborah Brock,1991-06-01,94,6.2,0.0
1641,PG,Action and Adventure|Comedy|Kids and Family,Sean McNamara,Sean McNamara|Jeff Phillips,1998-04-10,93,4.2,0.0
1642,NR,Classics|Comedy|Drama,Richard Quine,Arthur Carter|Blake Edwards|Jed Harris,1957-08-17,105,6.2,1.0
1643,R,Action and Adventure|Science Fiction and Fantasy,Douglas Aarniokoski,Gregory Widen|Joel Soisson|Eric Bernt,2000-09-01,85,4.7,0.0
1644,PG-13,Action and Adventure|Drama|Western,Lawrence Kasdan,Mark Kasdan|Lawrence Kasdan,1985-01-01,133,6.8,1.0
1645,R,Drama|Mystery and Suspense,David Mackenzie,Taylor Sheridan,2016-08-12,102,7.1,1.0
1646,R,Drama,Alexander Payne,Bob Nelson,2013-11-15,115,7.4,1.0
1647,PG,Action and Adventure|Classics|Drama|Mystery and Suspense,Terence Young,unknown,1965-12-20,125,6.6,1.0
1650,NR,Science Fiction and Fantasy,Terry Marcel,Terry Marcel,,94,4.0,0.0
1651,R,Art House and International|Drama,Atom Egoyan,Atom Egoyan,1994-05-16,104,7.7,1.0
1653,NR,Drama,Kira Muratova,Natalya Ryazantseva,,97,6.2,1.0
1654,PG,Action and Adventure|Drama|Mystery and Suspense,Gordon Douglas,unknown,,83,6.2,1.0
1655,NR,Action and Adventure|Art House and International|Mystery and Suspense,Ravi Chopra,unknown,,142,6.2,1.0
1656,R,Drama,Frank Whaley,Frank Whaley,1999-10-15,101,6.3,1.0
1657,NR,Action and Adventure,Dante Lam,Ji Feng,2018-02-23,141,6.8,1.0
